Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Dalila,Dalia,7.052,3.9244569880780063e-05,1,7,[1990]
Dalila,Dalila,3.685,2.0508452647375386e-05,1,7
Dalila,Delila,1.137,6.329769335609687e-06,1,7
Dalila,Kalila,0.864,4.810624695063362e-06,1,7
Dalila,Dalisa,0.819,4.557433921638975e-06,1,7

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Haelen,Helen,15.968,0.00021976959133236833,1,6,[1990]
Haelen,Haley,0.39,0.000814767908879679,2,97
Haelen,Allen,0.27,0.0005651218062832329,2,97
Haelen,Harlen,0.221,3.03828928109265e-06,1,6
Haelen,Haelen,0.083,0,NA,NA

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Haabel,Isabel,0.405,0.00020331219105978316,2,16,[1990]
Haabel,Abel,0.308,0.00015444637178887636,2,16
Haabel,Anabel,0.144,7.215937042595044e-05,2,16
Haabel,Hazel,0.073,3.6712662146536186e-05,2,16
Haabel,Haabel,0.02,0,NA,NA

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Marrk,Mark,19.922,0.002715471044976556,1,5,[1990]
Marrk,Mary,0.347,0.0022022533472453223,2,103
Marrk,Maria,0.29,0.0018427224489826922,2,103
Marrk,Mario,0.114,0.0007203277503923824,2,103
Marrk,Marrk,0.044,0,NA,NA

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Maccy,Macy,17.169,9.089548765935511e-05,1,3,[1990]
Maccy,Marcy,8.274,4.380200380241904e-05,1,3
Maccy,Macey,7.891,4.1776477615023934e-05,1,3
Maccy,Mary,0.525,0.0022022533472453223,2,58
Maccy,Maccy,0.073,0,NA,NA

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Hlen,Helen,8.788,0.00021976959133236833,1,7,[1990]
Hlen,Glen,4.546,0.00011368265726754998,1,7
Hlen,Alex,0.382,0.0018206948516947704,2,135
Hlen,Hien,0.253,6.329769335609687e-06,1,7
Hlen,Hlen,0.122,0,NA,NA

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Egenia,Eugenia,48.106,3.215522822489721e-05,1,2,[1990]
Egenia,Genia,1.894,1.2659538671219375e-06,1,2
Egenia,Yesenia,0.623,0.0004937220081775556,2,41
Egenia,Elena,0.243,0.0001924249878025345,2,41
Egenia,Egenia,0.031,0,NA,NA

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Acy,Amy,8.443,0.002147817330959079,1,12,[1990]
Acy,Lacy,0.779,0.00019824837559129541,1,12
Acy,Macy,0.357,9.089548765935511e-05,1,12
Acy,Kacy,0.221,5.6208351700214024e-05,1,12
Acy,Acy,0.046,0,NA,NA

Typed Word,Suggestion,Score,Frequency,ED?,Count ED,Year
Dcire,Deidre,0.369,4.8865819270906786e-05,2,15,[1990]
Dcire,Desire,0.218,2.8863748170380173e-05,2,15
Dcire,Dirk,0.157,2.0761643420799774e-05,2,15
